id_partie,status,joueur_depart,joueur_gagnant,rows,cols,confiance,signature
61641,terminee,R,Y,9,9,1,64645545554344873217753258889667
61640,terminee,R,R,9,9,1,64764554465665454465542789798992754777775666222288233111911991229918888
61639,terminee,R,Y,9,9,1,635654555687634462
61638,terminee,R,R,9,9,1,676446445575577466544552667477713115656499999999791111118888888882222222233
61637,terminee,R,R,9,9,1,45665565546466452556244244221379848925777
61636,nulle,R,,9,9,1,476453555566644465564466577796777599999994477111133333332222112222238888911888818
61635,terminee,R,R,9,9,1,35556465554346844566977
61634,terminee,R,R,9,9,1,637445255454894785272254754274112112252745117779911919988888989986333
61633,terminee,R,Y,9,9,1,3465466456344373893776887663149313348847476855
61632,terminee,R,Y,9,9,1,5455445455457768667468768864665588884461333333777771833399992999991111111222
61631,terminee,R,R,9,9,1,65356454664454633
61630,terminee,R,Y,9,9,1,3574555456434232234433554733745377774775898888889822228229999999611111111166
61629,terminee,R,R,9,9,1,7776665564747794455
61628,terminee,R,Y,9,9,1,44454445555777586666667455888874777587884866611111111919999999933323222332
61627,nulle,R,,9,9,1,646755456655665468877744564455777611111111133333338887434397882222229999922992988
61626,terminee,R,R,9,9,1,5367566556786888557638278757765662728221572233123332313881111114444
61625,terminee,R,R,9,9,1,46466544467457577
61624,terminee,R,R,9,9,1,445546446457698623533
61623,terminee,R,Y,9,9,1,46356545554447864223574457756666624265227728888828788121117711919999119333
61622,terminee,R,R,9,9,1,54535555554343364443677
61621,terminee,R,R,9,9,1,645455654478788558899446666882256546445137886111221117777227211227333
61620,terminee,R,Y,9,9,1,45435454554335455434586888836666669888774333
61619,terminee,R,R,9,9,1,4753444655589776679647445955333775411519366
61618,terminee,R,R,9,9,1,766546564765445576576425777142446755682888882228112887411122191919999999333
61617,terminee,R,Y,9,9,1,434565445435232553422524677293397666
61616,terminee,R,R,9,9,1,37654666554777544746355433617633357454456719999999969711118181133822222
61615,terminee,R,R,9,9,1,546645546463456654552646645587888318777
61614,terminee,R,Y,9,9,1,744654644657558665564564888774777788856615471122221222211111293333
61613,terminee,R,R,9,9,1,7464656646346444775779931992672766353
61612,terminee,R,R,9,9,1,44535455553544766
61611,terminee,R,R,9,9,1,55544656654366233
61610,terminee,R,R,9,9,1,5543676455663335365363633578744
61609,terminee,R,Y,9,9,1,57556664556777664725277445544262622754426472929999998891111111193333
61608,terminee,R,Y,9,9,1,676554555674446746445525475667766422222122999992991911111119778888
61607,terminee,R,Y,9,9,1,655644465586644558464456695568899819239918229288922289224111111177
61606,terminee,R,R,9,9,1,6357455554376686685855966883333999339885969986831111111121222292224777277
61605,terminee,R,R,9,9,1,4753456656445566323645222
61604,terminee,R,R,9,9,1,445666446423332362264333422644352262737767997777799999998881188818811181555
61603,terminee,R,R,9,9,1,6764446654577554457677655656445611111141177782122222222999998999988
61602,terminee,R,R,9,9,1,7375465556686677453576988444776755644586744818111111222
61601,terminee,R,Y,9,9,1,54545554446666662526457844522122596682211118888898841111299979999733
61600,terminee,R,R,9,9,1,5365656655748
61599,terminee,R,Y,9,9,1,35746455654556767747
61598,terminee,R,R,9,9,1,6533446556364456655155634444661541919119878771778889877
61597,terminee,R,R,9,9,1,4555554445333341334475533547496999776677799726666636799228891111112882188188822
61596,terminee,R,Y,9,9,1,56355464564347553666141446333356659857891148138779
